,title,subtitle,link
0,Trump threatens Russia over Ukraine. Will it make a difference?,President Trump has made some big shifts in U.S. policy on Russia's war with Ukraine lately.,https://www.npr.org/podcasts/510355/considerthis
1,Syrians in Turkey Decide Whether to Return Home,,https://www.npr.org/podcasts/510366/state-of-the-world
2,South Africa's president creates commission to look at police corruption allegations,"July 14, 2025 • South Africa's President Cyril Ramaphosa has suspended the police minister and launched a sweeping inquiry into alleged sabotage at the highest levels of law enforcement..",https://www.npr.org/sections/africa/
3,Trump touts weapon sales to NATO for Ukraine and threatens Russia with 100% tariffs,"July 14, 2025 • President Trump threatened to punish Russia with heavy tariffs on countries that trade with Moscow if the Kremlin fails to reach a ceasefire deal with Ukraine, while promising Kyiv weapons.",https://www.npr.org/series/1082539802/russia-ukraine-invasion-explained
4,European trade ministers meet to forge strategy after Trump's surprise 30% tariffs,"July 14, 2025 • The EU is America's biggest business partner and the world's largest trading bloc. The U.S. decision will have repercussions for governments, companies and consumers on both sides of the Atlantic.",https://www.npr.org/sections/europe/
5,"Hungary's oldest library is fighting to save 100,000 books from a beetle infestation","July 14, 2025 • Restoration workers are removing about 100,000 handbound books from their shelves and carefully placing them in crates, the start of a disinfection process that aims to kill the tiny beetles.",https://www.npr.org/sections/europe/
6,"A military exercise drawing together 19 nations and 35,000 forces begins in Australia","July 14, 2025 • The largest-ever war fighting drills in Australia is underway and expected to attract China's attention. Talisman Sabre began in 2005 as a joint exercise between the U.S. and Australia.",https://www.npr.org/2025/07/14/g-s1-77431/military-exercise-19-nations-australia
7,Trump marks anniversary of assassination attempt at the FIFA Club World Cup final,"July 14, 2025 • The president joined the players on the field after the match to present PSG players with their runner-up medals and hand Chelsea their championship trophy.",https://www.npr.org/sections/politics/
8,"Jannik Sinner wins Wimbledon, Italy's first singles champion","July 13, 2025 • Italy's Jannik Sinner defeated defending champion Carlos Alcaraz to win his first Wimbledon title. Sinner is the first Italian to win the tournament.",https://www.npr.org/sections/sports/
9,Nigeria's former President Muhammadu Buhari dies at 82,"July 13, 2025 • Nigeria's former president Muhammadu Buhari — who once ruled as a military dictator before returning decades later as an elected leader — has died at 82.",https://www.npr.org/sections/africa/
10,"At least 30 killed in Israeli strikes on Gaza as war deaths top 58,000, officials say","July 13, 2025 • At least six children were killed in an Israeli strike on a water collection point. The Israeli military blamed a technical error which made its munition fall ""dozens of meters from the target"".",https://www.npr.org/sections/middle-east/
11,Israeli settlers beat U.S. citizen to death in West Bank,"July 12, 2025 • A 21-year-old Florida man was beaten to death by Israeli settlers while visiting family in the West Bank.",https://www.npr.org/sections/middle-east/
12,"Trump announces 30% tariffs against EU, Mexico to begin August 1","July 12, 2025 • President Donald Trump on Saturday announced he's levying tariffs of 30% against the European Union and Mexico.",https://www.npr.org/2025/07/12/nx-s1-5465577/trump-30-tariffs-eu-mexico
13,"In Myanmar, a rush for rare earth metals is causing a regional environmental disaster","July 12, 2025 • A drastic increase in unregulated production of rare earth minerals in Myanmar is causing serious environmental concerns downriver in Thailand, as China's influence in the sector looms large.",https://www.npr.org/sections/asia/
14,Here's a list of Trump's tariff letters so far and the rates they threaten,"July 12, 2025 • Finding it hard to track the latest U.S. trade policy state of play? Here's a look the deals the president has announced and the rates he's so far threatened to impose in letters to global leaders.",https://www.npr.org/sections/politics/
15,Preliminary report says fuel switches were cut off before Air India Boeing 787 crash,"July 11, 2025 • Indian investigators determined the Boeing 787 Dreamliner was properly configured and lifted off normally. But three seconds after takeoff, the engines' fuel switches were cut off.",https://www.npr.org/2025/07/11/nx-s1-5465063/air-india-boeing-787-crash-report
16,Nigeria says it won't accept deportees from U.S.: 'We have enough problems of our own',"July 11, 2025 • Nigeria's government is pushing back against U.S. efforts to send the country migrants and foreign prisoners, with Nigerian Foreign Minister Yusuf Tuggar quoting Public Enemy to drive home his point.",https://www.npr.org/sections/africa/
17,Russia Intensifies Its Air War in Ukraine,"July 11, 2025 • Russia ratcheted up air attacks by drones and missiles on Ukraine this week. The increase comes as President Trump has expressed frustration at Russian President Vladimir Putin's seeming unwillingness to enter talks to end the war. Trump indicated the U.S. would resume shipments of weapons to Ukraine that had previously been suspended. Our correspondent in Kyiv gives us the latest.",https://www.npr.org/podcasts/510366/state-of-the-world
18,"Sumy, a center of Ukrainian culture, lives in the crosshairs of a new Russian offensive","July 11, 2025 • The northern regional capital has become a frequent target of Russian drones, missiles and guided bombs. Now, Ukraine's top general says at least 50,000 Russian troops have massed across the border.",https://www.npr.org/series/1082539802/russia-ukraine-invasion-explained
19,"Part war propaganda, part comic strip, Bayeux Tapestry to return to U.K.","July 11, 2025 • On a state visit, France's president announced the loan of the tapestry embroidered with scenes of the 1066 Norman invasion. It will return to the U.K. for the first time in more than 900 years.",https://www.npr.org/sections/europe/
20,Hundreds laid off in State Department overhaul,"July 11, 2025 • The State Department is slashing hundreds of jobs in what's being called its biggest shake-up in decades — drawing sharp criticism from former diplomats who say the cuts risk gutting America's diplomatic muscle.",https://www.npr.org/sections/news/
21,"European allies step up plans for Ukraine stabilization, with U.S. attending meeting","July 11, 2025 • The force is expected to provide logistical and training experts to help reconstitute Ukraine's armed forces, secure Ukraine's skies and the Black Sea.",https://www.npr.org/sections/europe/
22,UNAIDS report warns that HIV progress is at risk as U.S. funding cuts take hold,"July 10, 2025 • The UNAIDS annual report warns that Trump-era HIV funding cuts could lead to 6 million more infections and 4 million deaths by 2029 — as low-income countries struggle to fill the gap.",https://www.npr.org/sections/goatsandsoda/
23,A harrowing journey to find food in Gaza,"July 10, 2025 • Israel bans international journalists from independent access to Gaza. But NPR's Anas Baba is from Gaza, and in the 21 months he has been reporting on the war, he's also been living it. Over the course of the war, he has lost a third of his body weight, and until his food supplies ran out several weeks ago, he was getting by on just one small meal a day.",https://www.npr.org/podcasts/510355/considerthis
